iter	Passed	Remaining
0	0	8
1	0	7
2	0	7
3	1	7
4	1	6
5	1	6
6	1	6
7	2	5
8	2	5
9	2	5
10	2	5
11	3	4
12	3	4
13	3	4
14	4	4
15	4	3
16	4	3
17	4	3
18	5	2
19	5	2
20	5	2
21	5	2
22	6	1
23	6	1
24	6	1
25	6	1
26	7	0
27	7	0
28	7	0
29	7	0
